run_id,run_attempt,platform,project,route_id,outcome,duration_ms,retry_count,attempt_failures,error_signature,artifact_url,data_source
26321024495,1,macos,electron,calendar-provider-subscriptions.spec.ts :: Calendar provider subscriptions > keeps calendar dates and external source cards in the selected language after switching languages,failed,,0,1,Error: expect(locator).toContainText(expected) failed,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26321024495/job/77489912991,job_log_failure_summary
26321024495,1,macos,electron,file-search-popup.spec.ts :: file search popup > reruns the current query after the background refresh finishes,flaky,,1,1,Error: expect(locator).toHaveText(expected) failed,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26321024495/job/77489912991,job_log_failure_summary
26321024495,1,windows,electron,automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > hides linked source event from the month cell while keeping it in detail tabs,failed,,0,1,TimeoutError: locator.click: Timeout 30000ms exceeded.,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26321024495/job/77489912955,job_log_failure_summary
26321024495,1,windows,electron,calendar-provider-subscriptions.spec.ts :: Calendar provider subscriptions > keeps calendar dates and external source cards in the selected language after switching languages,failed,,0,1,Error: expect(locator).toContainText(expected) failed,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26321024495/job/77489912955,job_log_failure_summary
26322357567,1,windows,electron,automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > hides linked source event from the month cell while keeping it in detail tabs,failed,,0,1,TimeoutError: locator.click: Timeout 30000ms exceeded.,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26322357567/job/77493716340,job_log_failure_summary
26322357567,1,windows,electron,calendar-provider-subscriptions.spec.ts :: Calendar provider subscriptions > keeps calendar dates and external source cards in the selected language after switching languages,failed,,0,1,Error: expect(locator).toContainText(expected) failed,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26322357567/job/77493716340,job_log_failure_summary
26322902132,1,macos,electron,calendar-provider-subscriptions.spec.ts :: Calendar provider subscriptions > keeps calendar dates and external source cards in the selected language after switching languages,failed,,0,1,Error: expect(locator).toContainText(expected) failed,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26322902132/job/77495178135,job_log_failure_summary
26322902132,1,windows,electron,automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > hides linked source event from the month cell while keeping it in detail tabs,failed,,0,1,TimeoutError: locator.click: Timeout 30000ms exceeded.,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26322902132/job/77495178149,job_log_failure_summary
26322902132,1,windows,electron,calendar-provider-subscriptions.spec.ts :: Calendar provider subscriptions > keeps calendar dates and external source cards in the selected language after switching languages,failed,,0,1,Error: expect(locator).toContainText(expected) failed,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26322902132/job/77495178149,job_log_failure_summary
26322902132,1,windows,electron,preview.spec.ts :: Preview Functionality > Preview Navigation > enters a folder on double click in the preview file tree,flaky,,1,1,Error: expect(locator).toBeVisible() failed,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26322902132/job/77495178149,job_log_failure_summary
26323154791,1,macos,electron,calendar-provider-subscriptions.spec.ts :: Calendar provider subscriptions > keeps calendar dates and external source cards in the selected language after switching languages,failed,,0,1,Error: expect(locator).toContainText(expected) failed,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26323154791/job/77495838333,job_log_failure_summary
26323154791,1,windows,electron,automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > hides linked source event from the month cell while keeping it in detail tabs,failed,,0,1,TimeoutError: locator.click: Timeout 30000ms exceeded.,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26323154791/job/77495838332,job_log_failure_summary
26323154791,1,windows,electron,calendar-provider-subscriptions.spec.ts :: Calendar provider subscriptions > keeps calendar dates and external source cards in the selected language after switching languages,failed,,0,1,Error: expect(locator).toContainText(expected) failed,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26323154791/job/77495838332,job_log_failure_summary
26323214938,1,windows,electron,automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > hides linked source event from the month cell while keeping it in detail tabs,failed,,0,1,TimeoutError: locator.click: Timeout 30000ms exceeded.,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26323214938/job/77496006990,job_log_failure_summary
26323214938,1,windows,electron,calendar-provider-subscriptions.spec.ts :: Calendar provider subscriptions > keeps calendar dates and external source cards in the selected language after switching languages,failed,,0,1,Error: expect(locator).toContainText(expected) failed,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26323214938/job/77496006990,job_log_failure_summary
26324108086,1,macos,electron,calendar-provider-subscriptions.spec.ts :: Calendar provider subscriptions > keeps calendar dates and external source cards in the selected language after switching languages,failed,,0,1,Error: expect(locator).toContainText(expected) failed,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26324108086/job/77498414446,job_log_failure_summary
26324108086,1,windows,electron,automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > hides linked source event from the month cell while keeping it in detail tabs,failed,,0,1,TimeoutError: locator.click: Timeout 30000ms exceeded.,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26324108086/job/77498414441,job_log_failure_summary
26324108086,1,windows,electron,calendar-provider-subscriptions.spec.ts :: Calendar provider subscriptions > keeps calendar dates and external source cards in the selected language after switching languages,failed,,0,1,Error: expect(locator).toContainText(expected) failed,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26324108086/job/77498414441,job_log_failure_summary
26324874783,1,macos,electron,calendar-provider-subscriptions.spec.ts :: Calendar provider subscriptions > keeps calendar dates and external source cards in the selected language after switching languages,failed,,0,1,Error: expect(locator).toContainText(expected) failed,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26324874783/job/77500585080,job_log_failure_summary
26324874783,1,macos,electron,file-search-popup.spec.ts :: file search popup > reruns the current query after the background refresh finishes,flaky,,1,1,Error: expect(received).toBeGreaterThan(expected),https://github.com/AOE-HQ/aoe-desktop/actions/runs/26324874783/job/77500585080,job_log_failure_summary
26324874783,1,windows,electron,automation-scheduled-tasks.spec.ts :: Automation scheduled tasks > hides linked source event from the month cell while keeping it in detail tabs,failed,,0,1,TimeoutError: locator.click: Timeout 30000ms exceeded.,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26324874783/job/77500585084,job_log_failure_summary
26324874783,1,windows,electron,calendar-provider-subscriptions.spec.ts :: Calendar provider subscriptions > keeps calendar dates and external source cards in the selected language after switching languages,failed,,0,1,Error: expect(locator).toContainText(expected) failed,https://github.com/AOE-HQ/aoe-desktop/actions/runs/26324874783/job/77500585084,job_log_failure_summary
